family,label,basis_setting,channel_class,absolute_deviation,readout_mitigated_absolute_deviation,absolute_amplification,amplification_ratio
dla_parity,dla_odd_shallow,IIYY,transverse_edge,0.4734810534982135,0.9912779304997331,0.5177968770015196,2.093595769410176
dla_parity,dla_odd_shallow,IIXX,transverse_edge,0.4572050118315468,0.961854204563702,0.5046491927321551,2.1037700367949785
dla_parity,dla_odd_shallow,IIZZ,zz_edge,0.11173414204487869,0.39724426415585723,0.28551012211097854,3.5552630278066815
dla_parity,dla_even_shallow,IIYY,transverse_edge,0.14881574914628276,0.3727700403140103,0.22395429116772753,2.5049098798513936
fim_pair,fim_lambda4_feedback,IIXX,transverse_edge,0.19174638193696106,0.40068033893938376,0.2089339570024227,2.089637024134892
dla_parity,dla_even_shallow,IIXX,transverse_edge,0.12309960331294939,0.33058885942818866,0.20748925611523927,2.6855395998941662
fim_pair,fim_lambda4_feedback,IIYY,transverse_edge,0.18718909027029432,0.3834347822637469,0.19624569199345257,2.0483821023441102
fim_pair,fim_lambda4_feedback,IIZZ,zz_edge,0.0858884296974973,0.2682569372625507,0.18236850756505338,3.1233186845697727
dla_parity,dla_even_signal,IIXX,transverse_edge,0.015411872753691491,0.18646198867307534,0.17105011591938385,12.098593834316047
dla_parity,dla_odd_signal,IIZZ,zz_edge,0.2567207047746604,0.08579129587944223,-0.17092940889521818,0.33418144420702856
dla_parity,dla_even_shallow,IIZZ,zz_edge,0.19446012199349327,0.030621635495775956,-0.16383848649771732,0.15747000043947607
fim_pair,fim_lambda0_reference,IIZZ,zz_edge,0.055614992197497104,0.21395631779008167,0.15834132559258457,3.847097865810913
