family,label,initial,depth,lambda_fim,observable,pauli_label,basis_setting,zne_noise_scale,n_repetitions,mean_expectation,stderr_expectation,readout_mitigated_mean_expectation,readout_mitigated_stderr_expectation,exact_expectation,deviation_from_exact,absolute_deviation,readout_mitigated_deviation_from_exact,readout_mitigated_absolute_deviation
dla_parity,dla_odd_shallow,0001,6,,XX_q2q3,IIXX,IIXX,1,3,0.4635416666666667,0.0174723136722912,0.4744474109767275,0.018052329636824377,-0.02654094933154684,0.4900826159982135,0.4900826159982135,0.5009883603082743,0.5009883603082743
dla_parity,dla_odd_shallow,0001,6,,XX_q2q3,IIXX,IIXX,3,3,0.3291015625,0.01044206701324573,0.33616136685852166,0.010844368927957286,-0.02654094933154684,0.3556425118315468,0.3556425118315468,0.3627023161900685,0.3627023161900685
dla_parity,dla_odd_shallow,0001,6,,XX_q2q3,IIXX,IIXX,5,3,0.2737630208333333,0.02009547439329512,0.2798483121870767,0.02075986033265203,-0.02654094933154684,0.30030397016488014,0.30030397016488014,0.3063892615186235,0.3063892615186235
dla_parity,dla_odd_shallow,0001,6,,YY_q2q3,IIYY,IIYY,1,3,0.4309895833333333,0.008538331411851563,0.4409798456344906,0.008856706353014875,-0.02654094933154684,0.45753053266488014,0.45753053266488014,0.46752079496603743,0.46752079496603743
dla_parity,dla_odd_shallow,0001,6,,YY_q2q3,IIYY,IIYY,3,3,0.349609375,0.01389100800348429,0.35778817358024284,0.01436852081558509,-0.02654094933154684,0.3761503243315468,0.3761503243315468,0.38432912291178967,0.38432912291178967
dla_parity,dla_odd_shallow,0001,6,,YY_q2q3,IIYY,IIYY,5,3,0.2805989583333333,0.019501387761393436,0.2869813016356758,0.02018457440426431,-0.02654094933154684,0.30713990766488014,0.30713990766488014,0.31352225096722264,0.31352225096722264
dla_parity,dla_odd_signal,0001,10,,XX_q0q1,XXII,XXII,1,3,0.21614583333333334,0.010231922946290176,0.22216613961887283,0.01078132347700079,-0.12445001747882631,0.34059585081215965,0.34059585081215965,0.3466161570976991,0.3466161570976991
dla_parity,dla_odd_signal,0001,10,,XX_q0q1,XXII,XXII,3,3,0.0810546875,0.004475171577105313,0.08306266461494131,0.004730278262471408,-0.12445001747882631,0.2055047049788263,0.2055047049788263,0.2075126820937676,0.2075126820937676
dla_parity,dla_odd_signal,0001,10,,XX_q0q1,XXII,XXII,5,3,0.0166015625,0.015716286073663165,0.016298215750599514,0.016555403515717906,-0.12445001747882631,0.1410515799788263,0.1410515799788263,0.1407482332294258,0.1407482332294258
dla_parity,dla_odd_signal,0001,10,,YY_q0q1,YYII,YYII,1,3,0.23470052083333334,0.0174723136722912,0.24168669452627803,0.018246791189851206,-0.12445001747882625,0.3591505383121596,0.3591505383121596,0.3661367120051043,0.3661367120051043
dla_parity,dla_odd_signal,0001,10,,YY_q0q1,YYII,YYII,3,3,0.06998697916666667,0.012421083351783147,0.07074086148886363,0.013061357151551132,-0.12445001747882625,0.1944369966454929,0.1944369966454929,0.19519087896768988,0.19519087896768988
dla_parity,dla_odd_signal,0001,10,,YY_q0q1,YYII,YYII,5,3,0.021484375,0.010976377148494379,0.02135872371439172,0.011569086967023773,-0.12445001747882625,0.14593439247882625,0.14593439247882625,0.14580874119321796,0.14580874119321796
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q1q2,IZZI,IZZI,1,3,-0.2939453125,0.02346461105591159,-0.3028616837644841,0.024237723470760048,-0.7447232279570062,0.4507779154570062,0.4507779154570062,0.4418615441925221,0.4418615441925221
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q1q2,IZZI,IZZI,3,3,-0.028971354166666668,0.006583251437551005,-0.03110648057203647,0.006777783673587085,-0.7447232279570062,0.7157518737903396,0.7157518737903396,0.7136167473849697,0.7136167473849697
fim_pair,fim_lambda4_feedback,0011,4,4.0,ZZ_q1q2,IZZI,IZZI,5,3,-0.0009765625,0.0029834477180702085,-0.0021975205018838345,0.0030403906177565564,-0.7447232279570062,0.7437466654570062,0.7437466654570062,0.7425257074551224,0.7425257074551224
