prepared,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
0000,0.977905273438,0.0089111328125,0.0018310546875,0,0.0074462890625,0.0001220703125,0,0,0.0037841796875,0,0,0,0,0,0,0
0001,0.0123291015625,0.977783203125,0,0.00146484375,0,0.0035400390625,0,0,0.000244140625,0.004638671875,0,0,0,0,0,0
0010,0.0096435546875,0,0.98193359375,0.0009765625,0.0001220703125,0,0.00439453125,0,0,0,0.0029296875,0,0,0,0,0
0011,0,0.005615234375,0.0101318359375,0.977661132812,0,0,0.0001220703125,0.004150390625,0,0,0,0.0023193359375,0,0,0,0
0100,0.0111083984375,0,0,0,0.977172851562,0.002685546875,0.0054931640625,0,0,0,0,0,0.0035400390625,0,0,0
0101,0,0.00439453125,0,0,0.0133056640625,0.974243164062,0,0.00439453125,0,0.0001220703125,0,0,0,0.0035400390625,0,0
0110,0,0,0.003173828125,0,0.0120849609375,0,0.977172851562,0.0045166015625,0,0,0,0,0.0001220703125,0,0.0029296875,0
0111,0,0.00048828125,0.0003662109375,0.0245361328125,0.0001220703125,0.0054931640625,0.010498046875,0.9560546875,0,0,0,0,0,0,0.0001220703125,0.0023193359375
1000,0.0111083984375,0.000244140625,0,0,0,0,0,0,0.976928710938,0.001953125,0.0059814453125,0,0.0037841796875,0,0,0
1001,0,0.00537109375,0,0.0001220703125,0,0,0,0,0.0128173828125,0.974487304688,0,0.00390625,0,0.0032958984375,0,0
1010,0,0,0.0057373046875,0,0,0,0,0,0.0108642578125,0,0.975830078125,0.00439453125,0.0003662109375,0,0.0028076171875,0
1011,0,0.0001220703125,0.0008544921875,0.0218505859375,0,0,0,0.0001220703125,0.0001220703125,0.0050048828125,0.0128173828125,0.955932617188,0,0,0,0.003173828125
1100,0.0001220703125,0,0,0,0.0050048828125,0.0001220703125,0,0,0.0128173828125,0,0,0,0.972778320312,0.0062255859375,0.0029296875,0
1101,0,0,0,0,0.0001220703125,0.025390625,0,0.0001220703125,0.0001220703125,0.00439453125,0,0,0.0098876953125,0.95703125,0,0.0029296875
1110,0.0001220703125,0,0.0001220703125,0,0,0,0.029296875,0.0001220703125,0.0001220703125,0,0.0045166015625,0,0.0111083984375,0,0.952392578125,0.002197265625
1111,0,0,0,0.0003662109375,0,0,0.0001220703125,0.0050048828125,0,0,0.000244140625,0.0235595703125,0.0001220703125,0.005126953125,0.0108642578125,0.95458984375
