exact_max_qubits,ground_energy,max_bond,max_midchain_entropy_bits,n_qubits,reason,status,worst_cut_discarded_weight
8,-6.303000000000001,4,-0.0,4,,ok,0.0
8,-6.303000000000001,8,-0.0,4,,ok,0.0
8,-6.303000000000001,16,-0.0,4,,ok,0.0
8,-10.793000000000001,4,-0.0,6,,ok,0.0
8,-10.793000000000001,8,-0.0,6,,ok,0.0
8,-10.793000000000001,16,-0.0,6,,ok,0.0
8,-12.755724606401255,4,0.9778011757860785,8,,ok,7.128577242845541e-35
8,-12.755724606401255,8,0.9778011757860785,8,,ok,2.699915425655394e-68
8,-12.755724606401255,16,0.9778011757860785,8,,ok,0.0
8,,,,10,above_exact_max_qubits,skipped,
8,,,,12,above_exact_max_qubits,skipped,
